"Checked"	"Master"	"Accession"	"Description"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"False"	"IsMasterProtein"	"Q9VZF6"	"GH04863p OS=Drosophila melanogaster OX=7227 GN=Sqor PE=1 SV=1"	"4"	"1"	"1"	"1"	"457"	"51.1"	"9.14"	"2.07"	"1"	"1"
"False"	"IsMasterProtein"	"Q9VX14"	"RH64870p OS=Drosophila melanogaster OX=7227 GN=Ucp4A PE=1 SV=1"	"6"	"1"	"1"	"1"	"340"	"37.1"	"9.52"	"2.06"	"1"	"1"
"False"	"IsMasterProtein"	"Q9W425"	"Rabconnectin-3A OS=Drosophila melanogaster OX=7227 GN=Rbcn-3A PE=1 SV=3"	"0"	"1"	"1"	"1"	"3426"	"377.1"	"6.16"	"2.06"	"1"	"1"
"False"	"IsMasterProtein"	"Q9W3M7"	"RNA helicase OS=Drosophila melanogaster OX=7227 GN=mahe PE=1 SV=1"	"2"	"1"	"1"	"1"	"945"	"100.4"	"9.14"	"2.06"	"1"	"1"
"False"	"IsMasterProtein"	"Q27571"	"Nitric oxide synthase OS=Drosophila melanogaster OX=7227 GN=Nos PE=1 SV=3"	"1"	"1"	"1"	"1"	"1349"	"151.6"	"7.80"	"2.05"	"1"	"1"
"False"	"IsMasterProtein"	"Q59DP9"	"Calcium-transporting ATPase OS=Drosophila melanogaster OX=7227 GN=PMCA PE=1 SV=3"	"1"	"1"	"1"	"1"	"1255"	"138.6"	"7.53"	"2.03"	"1"	"1"
"False"	"IsMasterProtein"	"Q9W1J0"	"Transporter OS=Drosophila melanogaster OX=7227 GN=GlyT PE=3 SV=2"	"2"	"1"	"1"	"1"	"1188"	"122.4"	"9.50"	"2.01"	"1"	"1"
"False"	"IsMasterProtein"	"A4V0N4"	"H(+)-transporting two-sector ATPase OS=Drosophila melanogaster OX=7227 GN=Vha68-2 PE=1 SV=1"	"3"	"1"	"1"	"1"	"614"	"68.3"	"5.34"	"2.01"	"1"	"1"
"False"	"IsMasterProtein"	"M9PFS0"	"non-specific serine/threonine protein kinase OS=Drosophila melanogaster OX=7227 GN=mTor PE=1 SV=1"	"1"	"1"	"1"	"1"	"2471"	"281.0"	"6.92"	"2.01"	"1"	"1"
"False"	"IsMasterProtein"	"Q9VW57"	"Grasp65 OS=Drosophila melanogaster OX=7227 GN=Grasp65 PE=1 SV=1"	"5"	"1"	"1"	"1"	"460"	"47.7"	"4.74"	"2.01"	"1"	"1"
